claim_id,description
1,"My car was rear-ended while waiting at a traffic signal. The other driver admitted fault."
2,"Heavy rain caused water to enter my basement and damage furniture."
3,"A customer slipped on a wet floor in my store and suffered an injury."
4,"Someone broke into my parked vehicle and stole my laptop."
5,"A tree fell on my garage during last night's storm."
6,"The contractor damaged my neighbor's fence while working on my property."
7,"I have called three times already and nobody has responded. My vehicle is unusable and I need help immediately."
8,"The kitchen pipe burst and flooded part of the house."
9,"If this matter is not resolved soon, I will consult my attorney and consider legal action."
10,"There was damage during the incident, but I am not sure whether it was caused by the delivery truck or by the storm."